source	target	label	source_line
2018-03-12 Reconstruction of inertia groups associated to log divisors from a configuration space  group equipped with log-full subgroups.pdf	Combinatorial Anabelian Topics I.pdf	CbTpI	1900
2018-03-12 Reconstruction of inertia groups associated to log divisors from a configuration space  group equipped with log-full subgroups.pdf	Combinatorial Cuspidalization.pdf	CmbCsp	1917
2018-03-12 Reconstruction of inertia groups associated to log divisors from a configuration space  group equipped with log-full subgroups.pdf	Combinatorial Grothendieck Conjecture.pdf	CmbGC	1915
2018-03-12 Reconstruction of inertia groups associated to log divisors from a configuration space  group equipped with log-full subgroups.pdf	Semi-graphs of Anabelioids.pdf	Semi	1913
2018-05-07 Geometric version of the Grothendieck Conjecutre for universal curves over Hurwitz stacks.pdf	Combinatorial Anabelian Topics I.pdf	CbTpI	3802
2018-05-07 Geometric version of the Grothendieck Conjecutre for universal curves over Hurwitz stacks.pdf	Combinatorial Cuspidalization.pdf	CmbCsp	3828
2018-05-07 Geometric version of the Grothendieck Conjecutre for universal curves over Hurwitz stacks.pdf	Combinatorial Grothendieck Conjecture.pdf	CmbGC	3826
2018-05-07 Geometric version of the Grothendieck Conjecutre for universal curves over Hurwitz stacks.pdf	Semi-graphs of Anabelioids.pdf	Semi	3824
2019-02-24 Near miss abc-triples in compactly bounded subsets.pdf	Arithmetic Elliptic Curves in General Position.pdf	GenEll	2952
2019-02-24 Near miss abc-triples in compactly bounded subsets.pdf	Inter-universal Teichmuller Theory IV.pdf	IUTchIV	2954
2020-11 Classical roots of IUT (marked up version).pdf	Alien Copies, Gaussians, and Inter-universal Teichmuller Theory.pdf	Alien	588
2020-11 Classical roots of IUT (marked up version).pdf	Inter-universal Teichmuller Theory I.pdf	IUTchI	573
2020-11 Classical roots of IUT (marked up version).pdf	Inter-universal Teichmuller Theory II.pdf	IUTchII	576
2020-11 Classical roots of IUT (marked up version).pdf	Inter-universal Teichmuller Theory III.pdf	IUTchIII	579
2020-11 Classical roots of IUT (marked up version).pdf	Inter-universal Teichmuller Theory IV.pdf	IUTchIV	582
2020-11 Classical roots of IUT (marked up version).pdf	Panoramic Overview of Inter-universal Teichmuller Theory.pdf	Pano	585
2020-11 Classical roots of IUT.pdf	Alien Copies, Gaussians, and Inter-universal Teichmuller Theory.pdf	Alien	588
2020-11 Classical roots of IUT.pdf	Inter-universal Teichmuller Theory I.pdf	IUTchI	573
2020-11 Classical roots of IUT.pdf	Inter-universal Teichmuller Theory II.pdf	IUTchII	576
2020-11 Classical roots of IUT.pdf	Inter-universal Teichmuller Theory III.pdf	IUTchIII	579
2020-11 Classical roots of IUT.pdf	Inter-universal Teichmuller Theory IV.pdf	IUTchIV	582
2020-11 Classical roots of IUT.pdf	Panoramic Overview of Inter-universal Teichmuller Theory.pdf	Pano	585
A Survey of the Hodge-Arakelov Theory of Elliptic Curves I.pdf	Connections and Related Structures on the Universal Extension of an Elliptic Curve.PDF	Mzk3	1840
A Survey of the Hodge-Arakelov Theory of Elliptic Curves I.pdf	The Hodge-Arakelov Theory of Elliptic Curves.pdf	Mzk1	1836
