file	incoming	outgoing
2008-05 arith-teich-intro-ohp-1jpg.pdf	0	0
2008-05 arith-teich-intro-ohp-2jpg.pdf	0	0
2008-05 arith-teich-intro-ohp-3jpg.pdf	0	0
2008-05 arith-teich-intro-ohp-4jpg.pdf	0	0
2008-05 arith-teich-intro-ohp-5jpg.pdf	0	0
2008-05 danwakai-abstract.pdf	0	0
2008-05 danwakai-ohp-jpg.pdf	0	0
2008-05 shuuchuu-kougi-gaiyou.pdf	0	0
2008-zenki-report-mondai.pdf	0	0
2010-10-abstract.pdf	0	0
2015-03 IUTeich Program.pdf	0	0
2015-03-09 Pictures (Hoshi).pdf	0	0
2015-03-09 Pictures (Mochizuki).pdf	0	0
2015-03-10 Pictures (Hoshi).pdf	0	0
2015-03-10 Pictures (Mochizuki).pdf	0	0
2015-03-11 Pictures (Hoshi).pdf	0	0
2015-03-11 Pictures (Mochizuki).pdf	0	0
2015-03-12 Pictures (Hoshi).pdf	0	0
2015-03-12 Pictures (Mochizuki).pdf	0	0
2015-03-13 Pictures (Hoshi).pdf	0	0
2015-03-13 Pictures (Mochizuki).pdf	0	0
2015-03-16 Pictures (Hoshi).pdf	0	0
2015-03-16 Pictures (Mochizuki).pdf	0	0
2015-03-17 Pictures (Hoshi).pdf	0	0
2015-03-17 Pictures (Mochizuki).pdf	0	0
2015-03-18 Pictures (Hoshi).pdf	0	0
2015-03-18 Pictures (Mochizuki).pdf	0	0
2015-03-19 Pictures (Hoshi).pdf	0	0
2015-03-19 Pictures (Mochizuki).pdf	0	0
2015-03-20 Pictures (Hoshi).pdf	0	0
2015-03-20 Pictures (Mochizuki).pdf	0	0
2015-04-24 Indecomposability of Various Profinite Groups Arising from Hyperbolic Curves.pdf	0	0
2015-10-18 Degeneration of Period Matices.pdf	0	0
2016-01-25 Minamide on Combinatorial Anabelian Geometry (1).pdf	0	0
2016-01-25 Minamide on Combinatorial Anabelian Geometry (2).pdf	0	0
2016-01-25 Minamide on Combinatorial Anabelian Geometry (3).pdf	0	0
2016-01-25 Minamide on Combinatorial Anabelian Geometry (4).pdf	0	0
2016-03-15 Minamide on Combinatorial Anabelian Geometry (1).pdf	0	0
2016-03-15 Minamide on Combinatorial Anabelian Geometry (2).pdf	0	0
2016-03-15 Minamide on Combinatorial Anabelian Geometry (3).pdf	0	0
2016-03-15 Minamide on Combinatorial Anabelian Geometry (4).pdf	0	0
2016-05-24-1 Introduction to multiple zeta values (Yamashita).pdf	0	0
2016-05-24-2 Introduction to multiple zeta values (Yamashita).pdf	0	0
2016-05-24-3 Introduction to multiple zeta values (Yamashita).pdf	0	0
2016-05-24-4 Introduction to multiple zeta values (Yamashita).pdf	0	0
2016-05-24-5 Introduction to multiple zeta values (Yamashita).pdf	0	0
2016-05-24-6 Introduction to multiple zeta values (Yamashita).pdf	0	0
2016-09-13 Minamide on Configuration Space Groups (1).pdf	0	0
2016-09-13 Minamide on Configuration Space Groups (2).pdf	0	0
2016-09-13 Minamide on Configuration Space Groups (3).pdf	0	0
2016-09-13 Minamide on Configuration Space Groups (4).pdf	0	0
2018-03-12 Reconstruction of inertia groups associated to log divisors from a configuration space  group equipped with log-full subgroups.pdf	0	4
2018-05-07 Geometric version of the Grothendieck Conjecutre for universal curves over Hurwitz stacks.pdf	0	4
2018-06-25 Near Miss abc-Triples in General Number Fields.pdf	0	0
2019-02-24 Near miss abc-triples in compactly bounded subsets.pdf	0	2
2020-11 Classical roots of IUT (Abstract).pdf	0	0
2020-11 Classical roots of IUT (marked up version).pdf	0	6
2020-11 Classical roots of IUT.pdf	0	6
2023-08 Brief report on the current situation surrounding inter-universal Teichmuller theory (IUT).pdf	0	0
2024-04 Announcement on the occasion of the awarding of the IUT Innovator Prize (Japanese).pdf	0	0
A Brief Introduction to Inter-universal Geometry (Tokyo 2004-01).pdf	0	0
A Brief Survey of the Geometry of Categories (Okayama 2005-05).pdf	0	0
A Survey of Absolute p-adic Anabelian Geometry (RIMS Kyoto 2006-11).pdf	0	0
A Survey of the Hodge-Arakelov Theory of Elliptic Curves I (comments).pdf	0	0
A Survey of the Hodge-Arakelov Theory of Elliptic Curves I.pdf	8	3
A Survey of the Hodge-Arakelov Theory of Elliptic Curves II (comments).pdf	0	0
A Survey of the Hodge-Arakelov Theory of Elliptic Curves II.pdf	7	0
A Theory of Ordinary p-adic Curves (comments).pdf	0	1
A Theory of Ordinary p-adic Curves.pdf	7	0
A Version of the Grothendieck Conjecture for p-adic Local Fields.pdf	0	0
Absolute Anabelian Cuspidalizations (LaTeX version).pdf	0	3
Absolute Anabelian Cuspidalizations (RIMS Kyoto 2005-02).pdf	0	0
Absolute Anabelian Cuspidalizations (comments).pdf	0	0
Absolute Anabelian Cuspidalizations.pdf	4	3
Absolute Anabelian Geometry (comments).pdf	0	0
Absolute Anabelian Geometry.pdf	6	3
Alien Copies, Gaussians, and Inter-universal Teichmuller Theory.pdf	21	20
An Introduction to p-adic Teichmuller Theory (comments).pdf	0	0
An Introduction to p-adic Teichmuller Theory.pdf	1	3
An explicit formula for the generic number of dormant indigenous bundles.pdf	0	0
Anabelian Geometry from an Inter-universal Point of View (RIMS Kyoto 2004-09).pdf	0	0
Anabelian Geometry in the Hodge-Arakelov Theory of Elliptic Curves (Kokyuroku 2002).pdf	0	10
Anabelioid no kikagaku (Meijidai 2002-03).pdf	0	0
Anabelioid no kikagaku to Teichmuller riron (Muroran 2002-08).pdf	0	0
Arithmetic Elliptic Curves in General Position (comments).pdf	0	0
Arithmetic Elliptic Curves in General Position.pdf	9	3
Bogomolov from the Point of View of Inter-universal Teichmuller Theory (comments).pdf	0	0
Bogomolov from the Point of View of Inter-universal Teichmuller Theory.pdf	0	7
Canonical Liftings (comments).pdf	0	0
Canonical Liftings.pdf	0	3
Categorical Representation of Arithmetic Log Schemes - with Applications to the Arithmetic of Elliptic Curves (Tokyo 2004-02).pdf	0	0
Categorical Representation of Locally Noetherian Log Schemes (comments).pdf	0	0
Categorical Representation of Locally Noetherian Log Schemes.pdf	0	0
Categories of Hyperbolic Riemann Surfaces (comments).pdf	0	0
Categories of Hyperbolic Riemann Surfaces.pdf	0	7
Categories of Log Schemes with Archimedean Structures (LaTeX version).pdf	0	2
Categories of Log Schemes with Archimedean Structures (comments).pdf	0	0
Categories of Log Schemes with Archimedean Structures.pdf	0	2
Classical roots of IUT (marked up version 2021-12-14).pdf	0	6
Combinatorial Anabelian Topics I (comments).pdf	0	0
Combinatorial Anabelian Topics I.pdf	10	3
Combinatorial Anabelian Topics II.pdf	10	4
Combinatorial Anabelian Topics III.pdf	4	6
Combinatorial Anabelian Topics IV.pdf	3	6
Combinatorial Cuspidalization (comments).pdf	0	0
Combinatorial Cuspidalization.pdf	8	1
Combinatorial Grothendieck Conjecture (comments).pdf	0	1
Combinatorial Grothendieck Conjecture.pdf	10	4
Combinatorial Section Conjecture and Pop-Stix.pdf	0	2
Combinatorial absolute Galois groups.pdf	0	5
Comments on Valuations.pdf	0	0
Connections and Related Structures on the Universal Extension of an Elliptic Curve.PDF	34	0
Connections and Related Structures on the Universal Extension of an Elliptic Curve.pdf	0	3
Correspondences on Hyperbolic Curves (comments).pdf	0	0
Correspondences on Hyperbolic Curves.pdf	0	3
Daenkyokusen no Hodge-Arakelov riron (Kyoutodaigaku suuron goudou seminaa 1999-12).pdf	0	0
Daenkyokusen no Hodge-Arakelov riron ni okeru en-aaberu kika+suuronteki bibun to ha nanika (Nagoya 2001-11).pdf	0	0
Daenkyokusen no hikakuteiri to thetakansuu (Toudai 1999-07).pdf	0	0
Daisuukyokusen ni kansuru Grothendieck yosou (ronsetsu).pdf	0	0
Daisuukyokusen ni kansuru Grothendieck yosou - p-shin kika no shiten kara (Tsudajuku 1998-10).pdf	0	0
Daisuukyokusen ni kansuru Grothendieck yosou - p-shin kika no shiten kara (Tsudajuku genkou 1998-10).pdf	0	0
Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	14	11
Explicit estimates in IUTeich.pdf	0	7
Extending Families of Curves over Log Regular Schemes.pdf	0	0
