file,url,sha256,status,pages,text_chars,text_file
Responses to questions on Frobenioids.pdf,http://www.kurims.kyoto-u.ac.jp/~motizuki/Responses%20to%20questions%20on%20Frobenioids.pdf,2EE1B38C1F298D2021BD2E12F2831BDB1A7540BEE661CB319418D414FAEEA50B,ok,10,25766,text\Responses to questions on Frobenioids.txt
The Etale Theta Function and its Frobenioid-theoretic Manifestations.pdf,http://www.kurims.kyoto-u.ac.jp/~motizuki/The%20Etale%20Theta%20Function%20and%20its%20Frobenioid-theoretic%20Manifestations.pdf,42C5D9180C69BC9FA6596CE1A11662494315954ED74301060BF1819F955A7406,ok,112,276372,text\The Etale Theta Function and its Frobenioid-theoretic Manifestations.txt
The Geometry of Frobenioids I.pdf,http://www.kurims.kyoto-u.ac.jp/~motizuki/The%20Geometry%20of%20Frobenioids%20I.pdf,8E5AC14E3AADB457EE4EDDE81A325B64B060CEFB14712D70CF2CA66B373AAF53,ok,126,309071,text\The Geometry of Frobenioids I.txt
The Geometry of Frobenioids II.pdf,http://www.kurims.kyoto-u.ac.jp/~motizuki/The%20Geometry%20of%20Frobenioids%20II.pdf,0185E64C4107123A20D2FD72F6E5A5FF8E5C1356D3CAEE69B7D5700E291AC0A9,ok,72,179176,text\The Geometry of Frobenioids II.txt
Topics in Absolute Anabelian Geometry III.pdf,http://www.kurims.kyoto-u.ac.jp/~motizuki/Topics%20in%20Absolute%20Anabelian%20Geometry%20III.pdf,E8115DF30A86DEA26E2EBF60CB333558FF28FE3E4D57017A80421787B53421A9,ok,164,439151,text\Topics in Absolute Anabelian Geometry III.txt
absolute_anabelian_cuspidalizations.pdf,http://www.kurims.kyoto-u.ac.jp/~yuichiro/absolute_anabelian_cuspidalizations.pdf,,missing-download,0,0,
talk20150309.pdf,http://www.kurims.kyoto-u.ac.jp/~yuichiro/talk20150309.pdf,B60D92021AA30A73627C15A56CAED2CF96A41555900D67CC62F2F3DF810C2734,ok,45,16799,text\talk20150309.txt
notesoniut.pdf,https://ivanfesenko.org/wp-content/uploads/2021/10/notesoniut.pdf,6131936B39A5A41E7B3C5AB259EFE480E38B6451CDAEF01C22BEBAEF279ECC1D,ok,29,113736,text\notesoniut.txt
oxf15iut.pdf,https://ivanfesenko.org/wp-content/uploads/2021/11/oxf15iut.pdf,97288118D6C6D26414A95368EFEC935FC316CC4E089AA4CD95F8434D650FB597,ok,2,3795,text\oxf15iut.txt
2008-05 arith-teich-intro-ohp-1jpg.pdf,https://www.kurims.kyoto-u.ac.jp/~motizuki/2008-05%20arith-teich-intro-ohp-1jpg.pdf,4E02FC4B8B37F019E958656561CBF0D0F39088204AD3DBC9080AF6C6409EA8F8,ok,13,2456,text\2008-05 arith-teich-intro-ohp-1jpg.txt
2008-05 arith-teich-intro-ohp-2jpg.pdf,https://www.kurims.kyoto-u.ac.jp/~motizuki/2008-05%20arith-teich-intro-ohp-2jpg.pdf,3CDF3D34C76EE042C77D2D29F9D501699C494BD4F8B53E1EDDE5AE35178B276D,ok,13,3038,text\2008-05 arith-teich-intro-ohp-2jpg.txt
2008-05 arith-teich-intro-ohp-3jpg.pdf,https://www.kurims.kyoto-u.ac.jp/~motizuki/2008-05%20arith-teich-intro-ohp-3jpg.pdf,003E37925A57C44F83F39782BA0C27F88D3091B8E6CD988C4360DD5ECFB3960B,ok,12,2666,text\2008-05 arith-teich-intro-ohp-3jpg.txt
