"file","url","status","bytes","sha256"
"Responses to questions on Frobenioids.pdf","http://www.kurims.kyoto-u.ac.jp/~motizuki/Responses%20to%20questions%20on%20Frobenioids.pdf","already-present","109843","2EE1B38C1F298D2021BD2E12F2831BDB1A7540BEE661CB319418D414FAEEA50B"
"The Etale Theta Function and its Frobenioid-theoretic Manifestations.pdf","http://www.kurims.kyoto-u.ac.jp/~motizuki/The%20Etale%20Theta%20Function%20and%20its%20Frobenioid-theoretic%20Manifestations.pdf","already-present","814566","42C5D9180C69BC9FA6596CE1A11662494315954ED74301060BF1819F955A7406"
"The Geometry of Frobenioids I.pdf","http://www.kurims.kyoto-u.ac.jp/~motizuki/The%20Geometry%20of%20Frobenioids%20I.pdf","already-present","804375","8E5AC14E3AADB457EE4EDDE81A325B64B060CEFB14712D70CF2CA66B373AAF53"
"The Geometry of Frobenioids II.pdf","http://www.kurims.kyoto-u.ac.jp/~motizuki/The%20Geometry%20of%20Frobenioids%20II.pdf","already-present","514623","0185E64C4107123A20D2FD72F6E5A5FF8E5C1356D3CAEE69B7D5700E291AC0A9"
"Topics in Absolute Anabelian Geometry III.pdf","http://www.kurims.kyoto-u.ac.jp/~motizuki/Topics%20in%20Absolute%20Anabelian%20Geometry%20III.pdf","already-present","1132226","E8115DF30A86DEA26E2EBF60CB333558FF28FE3E4D57017A80421787B53421A9"
"absolute_anabelian_cuspidalizations.pdf","http://www.kurims.kyoto-u.ac.jp/~yuichiro/absolute_anabelian_cuspidalizations.pdf","error","0",""
"talk20150309.pdf","http://www.kurims.kyoto-u.ac.jp/~yuichiro/talk20150309.pdf","already-present","128528","B60D92021AA30A73627C15A56CAED2CF96A41555900D67CC62F2F3DF810C2734"
"notesoniut.pdf","https://ivanfesenko.org/wp-content/uploads/2021/10/notesoniut.pdf","already-present","311055","6131936B39A5A41E7B3C5AB259EFE480E38B6451CDAEF01C22BEBAEF279ECC1D"
"oxf15iut.pdf","https://ivanfesenko.org/wp-content/uploads/2021/11/oxf15iut.pdf","already-present","383552","97288118D6C6D26414A95368EFEC935FC316CC4E089AA4CD95F8434D650FB597"
"2008-05 arith-teich-intro-ohp-1jpg.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2008-05%20arith-teich-intro-ohp-1jpg.pdf","already-present","332515","4E02FC4B8B37F019E958656561CBF0D0F39088204AD3DBC9080AF6C6409EA8F8"
"2008-05 arith-teich-intro-ohp-2jpg.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2008-05%20arith-teich-intro-ohp-2jpg.pdf","already-present","210634","3CDF3D34C76EE042C77D2D29F9D501699C494BD4F8B53E1EDDE5AE35178B276D"
