source	line	text
2015-04-24 Indecomposability of Various Profinite Groups Arising from Hyperbolic Curves.pdf	737	[7] Y. Hoshi, Absolute Anabelian Cuspidalization of Conﬁguration Spaces of Proper
2015-04-24 Indecomposability of Various Profinite Groups Arising from Hyperbolic Curves.pdf	745	[10] Y. Hoshi and S. Mochizuki, Topics Surrounding the Combinatorial Anabelian Ge-
2015-04-24 Indecomposability of Various Profinite Groups Arising from Hyperbolic Curves.pdf	749	[11] Y. Hoshi and S. Mochizuki, Topics Surrounding the Combinatorial Anabelian Geom-
2015-04-24 Indecomposability of Various Profinite Groups Arising from Hyperbolic Curves.pdf	751	[12] Y. Hoshi and S. Mochizuki, Topics Surrounding the Combinatorial Anabelian Geom-
2015-04-24 Indecomposability of Various Profinite Groups Arising from Hyperbolic Curves.pdf	757	[15] S. Mochizuki, The Local Pro- p Anabelian Geometry of Curves, Invent. Math. 138
2015-04-24 Indecomposability of Various Profinite Groups Arising from Hyperbolic Curves.pdf	759	[16] S. Mochizuki, The Absolute Anabelian Geometry of Hyperbolic Curves, Galois The-
2015-04-24 Indecomposability of Various Profinite Groups Arising from Hyperbolic Curves.pdf	761	[17] S. Mochizuki, Absolute anabelian cuspidalizations of proper hyperbolic curves, J.
2015-04-24 Indecomposability of Various Profinite Groups Arising from Hyperbolic Curves.pdf	765	[18] S. Mochizuki, On the Combinatorial Cuspidalization of Hyperbolic Curves, Osaka J.
2015-04-24 Indecomposability of Various Profinite Groups Arising from Hyperbolic Curves.pdf	767	[19] S. Mochizuki, Topics in Absolute Anabelian Geometry I: Generalities, J. Math. Sci.
2015-04-24 Indecomposability of Various Profinite Groups Arising from Hyperbolic Curves.pdf	769	[20] S. Mochizuki and A. Tamagawa, The Algebraic and Anabelian Geometry of Conﬁg-
2015-10-18 Degeneration of Period Matices.pdf	2455	[HM1] Y. Hoshi, S. Mochizuki, On the combinatorial anabelian geometry
2015-10-18 Degeneration of Period Matices.pdf	2458	[HM2] Y. Hoshi, S. Mochizuki, Topics surrounding the combinatorial an-
2015-10-18 Degeneration of Period Matices.pdf	2474	[Moc1] S. Mochizuki, The geometry of the compacti
2015-10-18 Degeneration of Period Matices.pdf	2477	[Moc2] S. Mochizuki, The pro
2015-10-18 Degeneration of Period Matices.pdf	2481	[Moc3] S. Mochizuki, A combinatorial version of the Grothendieck conjec-
2015-10-18 Degeneration of Period Matices.pdf	2485	[Moc4] S. Mochizuki, On the Combinatorial Cuspidalization of Hyperbolic
2015-10-18 Degeneration of Period Matices.pdf	2487	[MT] S. Mochizuki, A. Tamagawa The algebraic and anabelian geometry
2018-03-12 Reconstruction of inertia groups associated to log divisors from a configuration space  group equipped with log-full subgroups.pdf	1898	[NodNon] Y. Hoshi and S. Mochizuki, On the combinatorial anabelian geometry of nodally non-
2018-03-12 Reconstruction of inertia groups associated to log divisors from a configuration space  group equipped with log-full subgroups.pdf	1900	[CbTpI] Y. Hoshi and S. Mochizuki, Topics surrounding the combinatorial anabelian geometry
